type,workspace,send_date,campaign_or_step,sends,opens,open_rate,clicks,click_rate,ctor,orders_xbrand,revenue_xbrand,rev_per_1k
blast,ID,2026-04-17,P_EM_2026_04_17_TRADE_All_D_PR_Best_Of,20667,9104,0.4405,73,0.0035,0.0080,0,0.00,0.00
blast,ID,2026-04-22,P_EM_2026_04_22_ID_PC_PT_Trade_Lapsed_Re_Activation_Version_B _Treatment_Reminder 1,1382,605,0.4378,12,0.0087,0.0198,0,0.00,0.00
blast,ID,2026-04-22,P_EM_2026_04_22_ID_PC_PT_Trade_Cross_Brand_Version_B_Treatment_Reminder_1,1382,613,0.4436,9,0.0065,0.0147,0,0.00,0.00
blast,ID,2026-04-22,P_EM_2026_04_22_ID_PC_PT_Trade_Cross_Brand_Version_A_Control_Reminder_1,1191,587,0.4929,15,0.0126,0.0256,0,0.00,0.00
blast,ID,2026-04-22,P_EM_2026_04_22_ID_PC_PT_Trade_Lapsed_Re_Activation_Version_A_Control_Reminder_1,1433,626,0.4368,12,0.0084,0.0192,0,0.00,0.00
blast,ID,2026-04-23,P_EM_2026_04_23_CZ_PC_D_TRADE_Launch_CZ_Spring_Collection_Preview,22047,9935,0.4506,119,0.0054,0.0120,0,0.00,0.00
blast,ID,2026-04-28,P_EM_2026_04_29_ID_PC_D_TI_ID_Trade_Appreciation_Sale_Launch,22114,9928,0.4489,186,0.0084,0.0187,1,3175.74,143.61
blast,ID,2026-05-03,P_EM_2026_05_04_ID_PC_PT_Trade_ID_Preview_35%_First_Time_Ever,22115,10043,0.4541,412,0.0186,0.0410,8,23210.38,1049.53
blast,ID,2026-05-06,P_EM_2026_05_07_ID_PC_D_TRADE_MDW_Early_Access_Is_Live,83,28,0.3373,7,0.0843,0.2500,0,0.00,0.00
blast,ID,2026-05-07,P_EM_2026_05_07_ID_PC_D_TRADE_MDW_Early_Access_Is_Live_Resend,22081,9819,0.4447,155,0.0070,0.0158,0,0.00,0.00
